accession,dataset,biosample,antibiotic,species,mic,phenotype,gtdb_species,gtdb_genus,gtdb_ani,adjusted_mic,adjusted_phenotype
GCA_003306255.1,c24_test,SAMD00126568,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9744216985919656,8,resistant
GCA_003306295.1,c24_test,SAMD00126570,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9862796408750828,0.03125,susceptible
GCA_003306335.1,c24_test,SAMD00126572,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9961073707140844,0.03125,susceptible
GCA_003306355.1,c24_test,SAMD00126573,Ciprofloxacin,Escherichia coli,0.5,intermediate,Escherichia coli,Escherichia,0.97064542515927,0.5,intermediate
GCA_003306415.1,c24_test,SAMD00126576,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9862039898181776,0.03125,susceptible
GCA_003306615.1,c24_test,SAMD00126586,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9899060619182152,8,resistant
GCA_003306635.1,c24_test,SAMD00126587,Ciprofloxacin,Escherichia coli,2,resistant,Escherichia coli,Escherichia,0.9970311972825078,2,resistant
GCA_003306695.1,c24_test,SAMD00126590,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9861375826647608,0.25,susceptible
GCA_003306715.1,c24_test,SAMD00126591,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9862430633861906,0.25,susceptible
GCA_003306755.1,c24_test,SAMD00126593,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9864814362584644,8,resistant
GCA_003306855.1,c24_test,SAMD00126598,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9862354074966778,16,resistant
GCA_003306875.1,c24_test,SAMD00126599,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9861122907242096,1,resistant
GCA_003306895.1,c24_test,SAMD00126600,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9861391546142548,1,resistant
GCA_003306975.1,c24_test,SAMD00126604,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9727706848866784,1,resistant
GCA_003324505.1,c24_balance,SAMN07291526,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9733755317428808,8,resistant
GCA_003571665.1,c24_test c24_balance,SAMN04014927,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9859419213579323,8,resistant
GCA_003571685.1,c24_test,SAMN04014854,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9770696511653352,0.25,susceptible
GCA_003571785.1,c24_test c24_balance,SAMN04014908,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9743203803175428,8,resistant
GCA_003571825.1,c24_test,SAMN04014930,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9866871461397676,0.25,susceptible
GCA_003769125.2,c24_balance,SAMN10221255,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9779873891726656,0.125,susceptible
GCA_003774785.1,c24_balance,SAMN10221166,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9732418833886172,0.015625,susceptible
GCA_003774985.1,c24_balance,SAMN10221441,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9804387981156042,0.015625,susceptible
GCA_003775425.1,c24_balance,SAMN10221413,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9753722511434602,0.125,susceptible
GCA_003779885.1,c24_balance,SAMN10220968,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9724707571278252,0.015625,susceptible
GCA_003782685.1,c24_balance,SAMN10221331,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.972032401284496,0.015625,susceptible
GCA_003782785.1,c24_balance,SAMN10221201,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9720766578783138,0.015625,susceptible
GCA_003783215.1,c24_balance,SAMN10221094,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9731577946650398,0.015625,susceptible
GCA_003783475.1,c24_balance,SAMN10221445,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9714815335563082,0.015625,susceptible
GCA_003784265.1,c24_balance,SAMN10221337,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9722487402308948,0.015625,susceptible
GCA_003784605.1,c24_balance,SAMN10221453,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9721103389447714,0.015625,susceptible
GCA_003791365.1,c24_balance,SAMN10221009,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.972671633838066,0.015625,susceptible
GCA_003791985.1,c24_balance,SAMN10221477,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9721746440508294,0.015625,susceptible
GCA_003792185.1,c24_balance,SAMN10221611,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9732229255133972,0.015625,susceptible
GCA_003792535.1,c24_balance,SAMN10221626,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.973720531035006,0.015625,susceptible
GCA_003793735.1,c24_balance,SAMN10221428,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.973272574442782,0.125,susceptible
GCA_003794855.1,c24_balance,SAMN10221124,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9753084425388774,0.125,susceptible
GCA_003898835.1,c24_balance,SAMN10221048,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9728541459348704,0.015625,susceptible
GCA_003898935.1,c24_balance,SAMN10221189,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9726948012273596,0.015625,susceptible
GCA_003899275.1,c24_balance,SAMN10221345,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9739460767762472,0.015625,susceptible
GCA_004276775.1,c24_balance,SAMN10221339,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.97193457471643,0.015625,susceptible
GCA_004277245.1,c24_balance,SAMN10221117,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9716850069779104,0.015625,susceptible
GCA_004278355.1,c24_balance,SAMN10221644,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9719148656215896,0.015625,susceptible
GCA_004281435.2,c24_balance,SAMN10221115,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.973850895148058,0.125,susceptible
GCA_004282115.1,c24_balance,SAMN10221354,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9882960615019584,0.125,susceptible
GCA_004566385.1,c24_balance,SAMN10620167,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9749741941078828,4,resistant
GCA_004566475.1,c24_balance,SAMN10620159,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9721665610788016,0.25,susceptible
GCA_004566715.1,c24_balance,SAMN10620143,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.97297943918134,0.25,susceptible
GCA_004566755.1,c24_balance,SAMN10620142,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9755707230503377,4,resistant
GCA_004567045.1,c24_balance,SAMN10620124,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9741496379923812,0.25,susceptible
GCA_004567355.1,c24_balance,SAMN10620166,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9741633400765612,0.25,susceptible
GCA_004567585.1,c24_balance,SAMN10620130,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9862978005513608,4,resistant
GCA_004567595.1,c24_balance,SAMN10620119,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9733891698245264,0.25,susceptible
GCA_004567815.1,c24_balance,SAMN10620100,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9860699197504688,1,resistant
GCA_004568615.1,c24_balance,SAMN10620176,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.985988394699614,1,resistant
GCA_004569675.1,c24_balance,SAMN10620174,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9782621832662476,0.25,susceptible
GCA_004569875.1,c24_balance,SAMN10620171,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9736244573007304,1,resistant
GCA_004569995.1,c24_balance,SAMN10620091,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9887762542037424,4,resistant
GCA_008386375.1,c24_balance,SAMN10221061,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9738219799333871,0.125,susceptible
GCA_012006595.1,c24_balance,SAMN12990637,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9723000122052736,0.015625,susceptible
GCA_012007705.1,c24_balance,SAMN12587170,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9715855229053764,0.015625,susceptible
GCA_012071165.1,c24_balance,SAMN10221186,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9730409567998968,0.015625,susceptible
GCA_012072225.1,c24_balance,SAMN10221427,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.973449401192888,0.015625,susceptible
GCA_012073005.1,c24_balance,SAMN10221237,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.977973047590334,0.03125,susceptible
GCA_012073665.1,c24_balance,SAMN10221275,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9715747421280464,0.015625,susceptible
GCA_012074225.1,c24_balance,SAMN10221474,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9766968059777256,0.015625,susceptible
GCA_012074305.1,c24_balance,SAMN10220991,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9866873703112072,0.015625,susceptible
GCA_012074425.1,c24_balance,SAMN10221060,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9748035965458473,0.015625,susceptible
GCA_012075205.1,c24_balance,SAMN10221376,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9732162777689668,0.015625,susceptible
GCA_012075255.1,c24_balance,SAMN10221043,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9735611303214337,0.015625,susceptible
GCA_012075545.1,c24_balance,SAMN10221560,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.974919352134458,0.015625,susceptible
GCA_012076245.1,c24_balance,SAMN10221033,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9713730329235082,0.125,susceptible
GCA_012076255.1,c24_balance,SAMN10221028,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9716348933380108,0.015625,susceptible
GCA_012289065.2,c24_balance,SAMN12091253,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.973910982224172,0.015625,susceptible
GCA_012289265.1,c24_balance,SAMN12091256,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.97352786778644,0.015625,susceptible
GCA_012310165.1,c24_balance,SAMN12359575,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9727253778286696,0.015625,susceptible
GCA_012314825.1,c24_balance,SAMN12359569,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9744287718565848,0.015625,susceptible
GCA_012318425.2,c24_balance,SAMN12307931,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9724055903344536,0.015625,susceptible
GCA_012347655.1,c24_balance,SAMN11372918,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9741573101911292,0.015625,susceptible
GCA_012347895.1,c24_balance,SAMN11372900,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9725943400814608,0.015625,susceptible
GCA_012348035.1,c24_balance,SAMN11372854,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9729999786188016,0.015625,susceptible
GCA_012359675.1,c24_balance,SAMN11372845,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.971523273305348,0.015625,susceptible
GCA_012374735.1,c24_balance,SAMN11372932,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9806904087130808,0.015625,susceptible
GCA_012375365.1,c24_balance,SAMN11372942,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9724786323039988,0.015625,susceptible
GCA_012375435.1,c24_balance,SAMN11372907,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9725051797136166,0.015625,susceptible
GCA_012375655.1,c24_balance,SAMN11372951,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9717370919469082,0.015625,susceptible
GCA_012383125.1,c24_balance,SAMN11854355,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9737893256457804,0.25,susceptible
GCA_012383275.1,c24_balance,SAMN11854362,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.97438738034333106,0.015625,susceptible
GCA_012429045.2,c24_balance,SAMN12859068,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9736071740329036,0.015625,susceptible
GCA_012442345.1,c24_balance,SAMN07332509,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.973066034008632,0.25,susceptible
GCA_012442945.1,c24_balance,SAMN07325894,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9733158692223218,4,resistant
GCA_012450885.1,c24_balance,SAMN12912159,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9724569665710128,0.015625,susceptible
GCA_012478455.1,c24_balance,SAMN06754743,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.989469920892856,1,resistant
GCA_012479735.1,c24_balance,SAMN06754736,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9864931789641118,4,resistant
GCA_012480115.3,c24_balance,SAMN06015667,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.973638109089538,0.25,susceptible
GCA_012587395.1,c24_balance,SAMN05774080,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9863096546060872,64,resistant
GCA_012587435.1,c24_balance,SAMN05774077,Ciprofloxacin,Escherichia coli,16,resistant,Escherichia coli,Escherichia,0.9743346259469544,16,resistant
GCA_012592605.1,c24_balance,SAMN13703433,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9727757126403505,0.015625,susceptible
GCA_012595225.1,c24_balance,SAMN13682812,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9905008855104022,0.015625,susceptible
GCA_012598445.1,c24_balance,SAMN12943595,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9729210200800325,0.015625,susceptible
GCA_012600005.1,c24_balance,SAMN12943548,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9734507136097834,0.015625,susceptible
GCA_012600065.1,c24_balance,SAMN12943745,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.97358170505212,0.015625,susceptible
GCA_012600365.1,c24_balance,SAMN12943722,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9718408296927769,0.015625,susceptible
GCA_012600665.1,c24_balance,SAMN12943632,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.986388515144858,0.25,susceptible
GCA_012601615.1,c24_balance,SAMN12943730,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9743602300448672,0.015625,susceptible
GCA_012601915.1,c24_balance,SAMN12943657,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9715533240633056,0.015625,susceptible
GCA_012602275.1,c24_balance,SAMN12943679,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.972413900340998,0.015625,susceptible
GCA_012602295.1,c24_balance,SAMN12943674,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9733230882128532,0.015625,susceptible
GCA_012602675.1,c24_balance,SAMN12943496,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9747529374804416,0.015625,susceptible
GCA_012603015.1,c24_balance,SAMN12943531,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9727994849773433,0.015625,susceptible
GCA_012603055.1,c24_balance,SAMN12943533,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9807275516837504,0.015625,susceptible
GCA_012603075.1,c24_balance,SAMN12943534,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9739117697185375,0.015625,susceptible
GCA_012603115.1,c24_balance,SAMN12943445,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9728404608857868,0.015625,susceptible
GCA_012603735.1,c24_balance,SAMN12943580,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9783958297856769,0.125,susceptible
GCA_012603915.1,c24_balance,SAMN12943683,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9715562901947402,0.125,susceptible
GCA_012604075.1,c24_balance,SAMN12943693,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.972012592217543,0.015625,susceptible
GCA_012606235.1,c24_balance,SAMN13540593,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9742308826550032,0.015625,susceptible
GCA_012606315.1,c24_balance,SAMN13474469,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9732217993584766,0.25,susceptible
GCA_012607835.1,c24_balance,SAMN12990702,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9721883894283828,0.125,susceptible
GCA_012608655.1,c24_balance,SAMN12990687,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9712566088715452,0.015625,susceptible
GCA_012609095.1,c24_balance,SAMN12990611,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.989987089542794,0.015625,susceptible
GCA_012609335.1,c24_balance,SAMN12990663,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9745885107231116,0.125,susceptible
GCA_012609375.1,c24_balance,SAMN12990667,Ciprofloxacin,Escherichia coli,0.12,susceptible,Escherichia coli,Escherichia,0.9720744902358076,0.125,susceptible
GCA_012609865.1,c24_balance,SAMN12990709,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9712745190524796,0.015625,susceptible
GCA_012611655.1,c24_balance,SAMN13413555,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9722540098554742,0.015625,susceptible
GCA_012615025.1,c24_balance,SAMN13279669,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9731072859331056,0.015625,susceptible
GCA_012616185.1,c24_balance,SAMN13279653,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9719382009152756,0.015625,susceptible
GCA_012620385.1,c24_balance,SAMN13172699,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9702816587748322,0.015625,susceptible
GCA_012621085.1,c24_balance,SAMN13150869,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9719161556012484,0.015625,susceptible
GCA_012621495.1,c24_balance,SAMN13153770,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9722546044687064,0.015625,susceptible
GCA_012621815.1,c24_balance,SAMN13153732,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9725754159798154,0.015625,susceptible
GCA_012623465.1,c24_balance,SAMN13721837,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9720715651969344,0.015625,susceptible
GCA_012634105.1,c24_balance,SAMN05510454,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9866187051979118,0.25,susceptible
GCA_012637315.1,c24_balance,SAMN05505572,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9708903011018142,0.015625,susceptible
GCA_012653245.1,c24_balance,SAMN13920441,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9732342860966728,0.015625,susceptible
GCA_012655575.1,c24_balance,SAMN13911696,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9731149093839564,0.015625,susceptible
GCA_012677445.1,c24_balance,SAMN05194542,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9862632931745996,4,resistant
GCA_012677705.1,c24_balance,SAMN05194537,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.98627712372322,0.25,susceptible
GCA_012682125.1,c24_test,SAMEA3993599,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9722038293582316,0.03125,susceptible
GCA_012682145.1,c24_test,SAMEA3993595,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.9752797414789484,0.03125,susceptible
GCA_012682465.1,c24_test,SAMEA3993573,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.973850307546023,0.03125,susceptible
GCA_012682565.1,c24_test,SAMEA3993571,Ciprofloxacin,Escherichia coli,0.03,susceptible,Escherichia coli,Escherichia,0.973850307546023,0.03125,susceptible
GCA_012683825.1,c24_balance,SAMN04448242,Ciprofloxacin,Escherichia coli,8,resistant,Escherichia coli,Escherichia,0.9734148281034216,8,resistant
GCA_012684225.1,c24_balance,SAMN13996947,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.97461810515334,0.015625,susceptible
GCA_012707405.1,c24_balance,SAMN04571743,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.973354699995985,64,resistant
GCA_012708885.2,c24_balance,SAMN04621601,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9709577676692436,0.015625,susceptible
GCA_012765535.1,c24_balance,SAMN04339727,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9733785861886686,64,resistant
GCA_012766035.1,c24_balance,SAMN04339724,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9896240092068804,64,resistant
GCA_012766055.1,c24_balance,SAMN04339722,Ciprofloxacin,Escherichia coli,64,resistant,Escherichia coli,Escherichia,0.9729851699518612,64,resistant
GCA_012769655.1,c24_balance,SAMN04022942,Ciprofloxacin,Escherichia coli,32,resistant,Escherichia coli,Escherichia,0.9865200638339388,32,resistant
GCA_012774455.1,c24_balance,SAMN04122814,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9862820502340977,4,resistant
GCA_012775415.1,c24_balance,SAMN04122821,Ciprofloxacin,Escherichia coli,1,resistant,Escherichia coli,Escherichia,0.9857863198519368,1,resistant
GCA_012775435.1,c24_balance,SAMN04122820,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.973688201434255,4,resistant
GCA_012855355.1,c24_balance,SAMN14448278,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9865624903163426,0.015625,susceptible
GCA_012858695.1,c24_balance,SAMN13176252,Ciprofloxacin,Escherichia coli,4,resistant,Escherichia coli,Escherichia,0.9889077574083642,4,resistant
GCA_012881315.1,c24_balance,SAMN14414511,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9727115336532136,0.015625,susceptible
GCA_012915035.1,c24_balance,SAMN13176257,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.9970505776810968,0.25,susceptible
GCA_012988355.1,c24_balance,SAMN12359721,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9727530312140952,0.015625,susceptible
GCA_012989405.1,c24_balance,SAMN12359746,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9867682514071356,0.015625,susceptible
GCA_012989505.1,c24_balance,SAMN12359795,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.974526039924745,0.015625,susceptible
GCA_012990045.1,c24_balance,SAMN12359630,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.989626635697228,0.015625,susceptible
GCA_012990125.1,c24_balance,SAMN12359629,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9719387084506752,0.015625,susceptible
GCA_012990165.1,c24_balance,SAMN12359628,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9721074898189328,0.015625,susceptible
GCA_012990285.1,c24_balance,SAMN12359678,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9867074543948008,0.015625,susceptible
GCA_012990525.1,c24_balance,SAMN12359702,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9741325751840378,0.015625,susceptible
GCA_012991005.1,c24_balance,SAMN12359905,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9865796963982398,0.015625,susceptible
GCA_012991535.1,c24_balance,SAMN12360023,Ciprofloxacin,Escherichia coli,0.25,susceptible,Escherichia coli,Escherichia,0.97298600472064,0.25,susceptible
GCA_012991925.1,c24_balance,SAMN12359926,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.972422974283858,0.015625,susceptible
GCA_012992665.1,c24_balance,SAMN12359868,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9729086339817145,0.015625,susceptible
GCA_012993645.1,c24_balance,SAMN12359668,Ciprofloxacin,Escherichia coli,0.015,susceptible,Escherichia coli,Escherichia,0.9863338135618044,0.015625,susceptible
